year,month,nao,date
2013,8,0.97,2013-08-01
2013,9,0.24,2013-09-01
2013,10,-1.28,2013-10-01
2013,11,0.9,2013-11-01
2013,12,0.95,2013-12-01
2014,1,0.29,2014-01-01
2014,2,1.34,2014-02-01
2014,3,0.8,2014-03-01
2014,4,0.31,2014-04-01
2014,5,-0.92,2014-05-01
2014,6,-0.97,2014-06-01
2014,7,0.18,2014-07-01
2014,8,-1.68,2014-08-01
2014,9,1.62,2014-09-01
2014,10,-1.27,2014-10-01
2014,11,0.68,2014-11-01
2014,12,1.86,2014-12-01
2015,1,1.79,2015-01-01
2015,2,1.32,2015-02-01
2015,3,1.45,2015-03-01
2015,4,0.73,2015-04-01
2015,5,0.15,2015-05-01
2015,6,-0.07,2015-06-01
2015,7,-3.18,2015-07-01
2015,8,-0.76,2015-08-01
2015,9,-0.65,2015-09-01
2015,10,0.44,2015-10-01
2015,11,1.74,2015-11-01
2015,12,2.24,2015-12-01
2016,1,0.12,2016-01-01
2016,2,1.58,2016-02-01
2016,3,0.73,2016-03-01
2016,4,0.38,2016-04-01
2016,5,-0.77,2016-05-01
2016,6,-0.43,2016-06-01
2016,7,-1.76,2016-07-01
2016,8,-1.65,2016-08-01
2016,9,0.61,2016-09-01
2016,10,0.41,2016-10-01
2016,11,-0.16,2016-11-01
2016,12,0.48,2016-12-01
2017,1,0.48,2017-01-01
2017,2,1.0,2017-02-01
2017,3,0.74,2017-03-01
2017,4,1.73,2017-04-01
2017,5,-1.91,2017-05-01
2017,6,0.05,2017-06-01
2017,7,1.26,2017-07-01
2017,8,-1.1,2017-08-01
2017,9,-0.61,2017-09-01
2017,10,0.19,2017-10-01
2017,11,-0.0,2017-11-01
2017,12,0.88,2017-12-01
2018,1,1.44,2018-01-01
2018,2,1.58,2018-02-01
2018,3,-0.93,2018-03-01
2018,4,1.24,2018-04-01
2018,5,2.12,2018-05-01
2018,6,1.09,2018-06-01
2018,7,1.39,2018-07-01
2018,8,1.97,2018-08-01
2018,9,1.67,2018-09-01
2018,10,0.93,2018-10-01
2018,11,-0.11,2018-11-01
2018,12,0.61,2018-12-01
2019,1,0.59,2019-01-01
2019,2,0.29,2019-02-01
2019,3,1.23,2019-03-01
2019,4,0.47,2019-04-01
2019,5,-2.62,2019-05-01
2019,6,-1.09,2019-06-01
2019,7,-1.43,2019-07-01
2019,8,-1.17,2019-08-01
2019,9,-0.16,2019-09-01
2019,10,-1.41,2019-10-01
2019,11,0.28,2019-11-01
2019,12,1.2,2019-12-01
2020,1,1.34,2020-01-01
2020,2,1.26,2020-02-01
2020,3,1.01,2020-03-01
2020,4,-1.02,2020-04-01
2020,5,-0.41,2020-05-01
